flightn,airline,dep_time,dep_port,arr_time,arr_port,craft_type
UA2166,United Airlines,6:00 AM,ORD,8:43 AM,SFO,Boeing 737-800
UA0761,United Airlines,8:30 AM,ORD,11:08 AM,SFO,Boeing 777-200
UA1891,United Airlines,10:00 AM,ORD,12:46 PM,SFO,Boeing 757-300
UA0499,United Airlines,11:33 AM,ORD,2:30 PM,SFO,Boeing 737-900
UA1790,United Airlines,1:00 PM,ORD,3:53 PM,SFO,Airbus A320
UA0248,United Airlines,4:05 PM,ORD,6:54 PM,SFO,Boeing 757-300
UA0422,United Airlines,6:11 PM,ORD,9:10 PM,SFO,Boeing 737-900
UA1742,United Airlines,8:33 PM,ORD,11:32 PM,SFO,Boeing 757-300
UA0667,United Airlines,8:00 AM,ORD,11:01 AM,PHX,Airbus A320
UA0725,United Airlines,10:03 AM,ORD,1:03 PM,PHX,Boeing 737-900
UA0373,United Airlines,1:30 PM,ORD,4:29 PM,PHX,Airbus A320
UA0483,United Airlines,7:37 PM,ORD,10:40 PM,PHX,Boeing 737-900
UA1846,United Airlines,9:25 AM,ORD,12:12 PM,SEA,Boeing 737-800
UA0635,United Airlines,10:17 AM,ORD,1:04 PM,SEA,Boeing 737-800
UA2170,United Airlines,4:00 PM,ORD,6:43 PM,SEA,Boeing 737-800
UA0262,United Airlines,7:47 PM,ORD,10:35 PM,SEA,Boeing 737-900
UA2476,United Airlines,6:00 AM,ORD,7:45 AM,DEN,Boeing 737-900
UA0403,United Airlines,6:45 AM,ORD,8:28 AM,DEN,Boeing 757-300
UA0675,United Airlines,8:04 AM,ORD,10:00 AM,DEN,Boeing 757-300
UA0501,United Airlines,10:23 AM,ORD,12:19 PM,DEN,Boeing 757-300
UA0775,United Airlines,12:45 PM,ORD,2:30 PM,DEN,Boeing 757-300
UA2220,United Airlines,2:24 PM,ORD,4:09 PM,DEN,Boeing 757-300
UA0407,United Airlines,4:00 PM,ORD,5:45 PM,DEN,Boeing 757-300
UA0765,United Airlines,5:57 PM,ORD,7:41 PM,DEN,Boeing 737-900
UA0269,United Airlines,7:45 PM,ORD,9:33 PM,DEN,Boeing 757-200
UA1155,United Airlines,6:00 AM,ORD,9:05 AM,ATL,Airbus A319
UA0305,United Airlines,2:16 PM,ORD,5:25 PM,ATL,Airbus A320
UA0342,United Airlines,6:00 AM,ORD,9:12 AM,BOS,Airbus A320
UA1572,United Airlines,7:45 AM,ORD,10:57 AM,BOS,Boeing 737-800
UA1420,United Airlines,8:57 AM,ORD,12:09 PM,BOS,Airbus A319
UA0301,United Airlines,11:25 AM,ORD,2:42 PM,BOS,Boeing 757-200
UA0578,United Airlines,2:00 PM,ORD,5:20 PM,BOS,Airbus A320
UA0790,United Airlines,6:15 PM,ORD,9:40 PM,BOS,Boeing 737-800
